Parameter,Actual values,Case 2 : CE,Case3 : Dual,,diffrence in controlers,CE offset,Dual offset
xk_2,350.0,349.59841955828057,349.6486726344675,,-0.050253076186947965,0.40158044171943175,0.3513273655324838
xk_2,350.0,348.81488514435597,348.8324046431027,,-0.017519498746707995,1.1851148556440307,1.1675953568973227
xk_2,350.0,348.2434273978682,348.2506064010936,,-0.007179003225417091,1.7565726021318255,1.7493935989064084
xk_2,350.0,349.2623785783071,349.26284782719256,,-0.0004692488854516341,0.7376214216928929,0.7371521728074413
xk_2,350.0,348.66395237608253,348.66373895408213,,0.0002134220003995324,1.336047623917466,1.3362610459178654
xk_2,350.0,348.9153561867189,348.91478782587905,,0.0005683608398499018,1.0846438132811045,1.0852121741209544
xk_2,350.0,350.69328470346534,350.69307548202926,,0.00020922143608004262,-0.6932847034653378,-0.6930754820292577
xk_2,350.0,349.54887475003983,349.6298147515659,,-0.0809400015260735,0.451125249960171,0.3701852484340975
xk_2,350.0,349.527793363939,349.57134233350143,,-0.04354896956243692,0.4722066360610029,0.42865766649856596
xk_2,350.0,348.57512220163505,348.6040947922496,,-0.028972590614557703,1.424877798364946,1.3959052077503884
xk_2,350.0,349.14219784527603,349.1523727066702,,-0.010174861394148138,0.85780215472397,0.8476272933298219
xk_2,350.0,348.9494809666658,348.9512402064703,,-0.0017592398044712354,1.050519033334183,1.0487597935297117
xk_2,350.0,348.7037771612664,348.70311933890514,,0.0006578223612336842,1.2962228387336268,1.2968806610948604
xk_2,350.0,348.6003288462837,348.5992931645413,,0.0010356817423939901,1.3996711537163264,1.4007068354587204
xk_2,350.0,348.48513029812955,348.485018078901,,0.00011221922852655553,1.5148697018704524,1.514981921098979
xk_2,350.0,348.5654670075075,348.5654825288221,,-1.5521314594479918e-05,1.4345329924925068,1.4345174711779123
xk_2,350.0,349.1699761080497,349.1702118385054,,-0.0002357304556994677,0.8300238919503045,0.829788161494605
xk_2,350.0,349.4690748135567,349.4694309284211,,-0.00035611486441666784,0.5309251864433122,0.5305690715788955
xk_2,350.0,349.08551740419307,349.0859235834262,,-0.00040617923315267035,0.9144825958069305,0.9140764165737778
xk_2,350.0,349.0439674788647,349.044398267168,,-0.0004307883032765858,0.9560325211352847,0.9556017328320081
xk_2,350.0,347.84043147235167,347.90421107499145,,-0.06377960263978366,2.1595685276483323,2.0957889250085486
xk_2,350.0,348.8217789136913,348.85202707217655,,-0.03024815848527851,1.1782210863087244,1.1479729278234458
xk_2,350.0,347.9700816743667,347.9785690051907,,-0.00848733082398212,2.0299183256332753,2.0214309948092932
xk_2,350.0,348.2463645816641,348.2465740545625,,-0.00020947289834793992,1.7536354183358753,1.7534259454375274
xk_2,350.0,348.5147928852599,348.51294788428794,,0.0018450009719686022,1.485207114740092,1.4870521157120606
xk_2,350.0,348.7162906625116,348.7145925511256,,0.0016981113860197183,1.2837093374884034,1.2854074488744232
xk_2,350.0,348.67933774847273,348.6783332601503,,0.001004488322450925,1.320662251527267,1.321666739849718
xk_2,350.0,348.0813329932544,348.08090197192803,,0.0004310213263920559,1.9186670067455793,1.9190980280719714
xk_2,350.0,347.6464653151046,347.3403487700842,,0.30611654502041574,2.3535346848954077,2.6596512299158235
xk_2,350.0,347.23497050974055,347.12167580031775,,0.11329470942280295,2.765029490259451,2.878324199682254
xk_2,350.0,348.64211518520653,348.62834545346647,,0.013769731740069346,1.357884814793465,1.3716545465335344
xk_2,350.0,347.81185500455086,347.8798984301942,,-0.06804342564333865,2.188144995449136,2.1201015698057972
xk_2,350.0,347.4856674247799,347.52572147396404,,-0.04005404918416389,2.5143325752201235,2.4742785260359597
xk_2,350.0,347.81607180594756,347.8323372860478,,-0.016265480100230434,2.1839281940524415,2.167662713952211
