Parameter,Case Opt,Case CE,Case Dual
t6,1,1.6110710016,1.2801674393
t6,1,1.458041837,0.6313610162
t6,1,0.9786747312,1.4573603988
t6,1,0.8780572825,1.5567927257
t6,1,0.6281228896,1.5607644954
t6,1,0.7497352524,1.5568064155
t6,1,0.5991327986,1.5691579074
t6,1,0.7864206083,1.5600992558
t6,1,0.931552073,1.5979925811
t6,1,1.0954171641,1.6241880849
t6,1,1.2688578612,1.7579577986
t6,1,1.0175251125,1.7273882498
t6,1,0.8441022088,1.5140004357
t6,1,1.0810125602,1.6330968065
t6,1,0.9288097317,1.6758856172
t6,1,1.2968377067,0.7548000588
