Parameter,Case Opt,Case CE,Case Dual
t5,0.5,0.6229769431,0.920340358
t6,1,1.5,1.5
t6,1,1.5034215995,1.500118979
t6,1,1.5459751548,1.4999800104
t6,1,1.5171689834,1.5046068747
t6,1,1.4839264663,1.4835543983
t6,1,1.3836485034,1.4807217964
t6,1,1.1217097046,1.474221428
t6,1,0.8691144373,1.514478824
t6,1,0.879237696,1.3568053474
t6,1,0.7612292792,1.2911837571
t6,1,0.8743220233,1.0058839281
t6,1,0.9341218101,0.8419958748
t6,1,0.9121588197,0.8432077854
t6,1,0.7033768752,0.7471152579
t6,1,0.7079422451,1.2766772206
t6,1,0.8453478568,0.9059987047
t6,1,1.293779716,0.4359134679
t6,1,1.1492055264,0.4141412327
t6,1,0.7578578355,0.5652112759
t6,1,0.9114836953,0.9448821789
