Parameter,Actual values,Case 2 : CE,Case3 : Dual,,diffrence in controlers,CE offset,Dual offset
xk_1,0.5,0.4974083366026948,0.4974083366026948,,0.0,0.0025916633973052106,0.0025916633973052106
xk_1,0.5,0.4985807136754156,0.4985807136754156,,0.0,0.001419286324584379,0.001419286324584379
xk_1,0.5,0.4983282657370522,0.4983282657370522,,0.0,0.0016717342629478105,0.0016717342629478105
xk_1,0.5,0.49680606770522656,0.49680606770522656,,0.0,0.0031939322947734383,0.0031939322947734383
xk_1,0.5,0.49470525970518153,0.49470525970518153,,0.0,0.005294740294818467,0.005294740294818467
xk_1,0.5,0.49367486467620614,0.49367486467620614,,0.0,0.006325135323793862,0.006325135323793862
xk_1,0.5,0.4951808002339263,0.4951808002339263,,0.0,0.004819199766073701,0.004819199766073701
xk_1,0.5,0.49613704194684627,0.49613704194684627,,0.0,0.003862958053153731,0.003862958053153731
xk_1,0.5,0.49699260420480934,0.49699260420480934,,0.0,0.0030073957951906594,0.0030073957951906594
xk_1,0.5,0.497135160145579,0.497135160145579,,0.0,0.0028648398544209863,0.0028648398544209863
xk_1,0.5,0.4969219203741535,0.4969219203741535,,0.0,0.003078079625846497,0.003078079625846497
xk_1,0.5,0.49755190686344464,0.49755190686344464,,0.0,0.0024480931365553626,0.0024480931365553626
xk_1,0.5,0.5000392772951472,0.5000392772951472,,0.0,-3.9277295147188696e-05,-3.9277295147188696e-05
xk_1,0.5,0.5012730009030729,0.5012730009030729,,0.0,-0.0012730009030729184,-0.0012730009030729184
xk_1,0.5,0.4981981257418868,0.4981981257418868,,0.0,0.0018018742581131786,0.0018018742581131786
xk_1,0.5,0.4986927812316487,0.498567340347571,,0.00012544088407767662,0.0013072187683513259,0.0014326596524290025
xk_1,0.5,0.4995943619138544,0.4994162879398411,,0.00017807397401331526,0.0004056380861455766,0.0005837120601588919
xk_1,0.5,0.5005856199003851,0.5004502932073966,,0.00013532669298843558,-0.0005856199003850815,-0.0004502932073966459
xk_1,0.5,0.5020185129365102,0.5019394859027348,,7.902703377538067e-05,-0.0020185129365102306,-0.0019394859027348499
xk_1,0.5,0.5025560751413862,0.5025173706696062,,3.870447178000447e-05,-0.002556075141386227,-0.0025173706696062226
xk_1,0.5,0.5025719793577267,0.5025571123932873,,1.4866964439419483e-05,-0.0025719793577266836,-0.002557112393287264
xk_1,0.5,0.5015209339932502,0.5015173650859596,,3.5689072905853436e-06,-0.0015209339932501509,-0.0015173650859595655
xk_1,0.5,0.500534691527556,0.5005352953746858,,-6.038471297431514e-07,-0.0005346915275560304,-0.0005352953746857736
xk_1,0.5,0.5013423210191427,0.5013436218043341,,-1.3007851914492718e-06,-0.001342321019142667,-0.0013436218043341164
xk_1,0.5,0.5014560102670736,0.501457070676673,,-1.0604095993516083e-06,-0.0014560102670736486,-0.0014570706766730002
xk_1,0.5,0.5011573113797989,0.5011578611131182,,-5.497333193105192e-07,-0.0011573113797989087,-0.0011578611131182193
xk_1,0.5,0.5014342019426651,0.5014343741764438,,-1.722337786835837e-07,-0.001434201942665081,-0.0014343741764437645
xk_1,0.5,0.5001239541796034,0.5001239948165063,,-4.063690284272781e-08,-0.00012395417960342492,-0.00012399481650626765
xk_1,0.5,0.5016172215329973,0.501617082621502,,1.3891149530653735e-07,-0.0016172215329972595,-0.001617082621501953
xk_1,0.5,0.5029975710290722,0.502997368343441,,2.0268563116765392e-07,-0.0029975710290721658,-0.002997368343440998
xk_1,0.5,0.5028963014556902,0.5028960510652473,,2.5039044293517776e-07,-0.002896301455690198,-0.0028960510652472626
xk_1,0.5,0.5026413124476792,0.5026410423375094,,2.701101697866193e-07,-0.0026413124476791783,-0.0026410423375093917
xk_1,0.5,0.5018697208079139,0.5018694622611766,,2.585467373528161e-07,-0.0018697208079139216,-0.0018694622611765688
xk_1,0.5,0.5029722901042052,0.5029720345299428,,2.555742624199553e-07,-0.0029722901042051886,-0.0029720345299427686
