Parameter,Case 1,Case 2
t3,0.58,0.35432398743873905
t3,0.58,0.3509044077617666
t3,0.58,0.34611180785149653
t3,0.58,0.33855314535146597
t3,0.58,0.3399543055956898
t3,0.58,0.34545080097914277
t3,0.58,0.33372625379222176
t3,0.58,0.32788186401489144
t3,0.58,0.31708674999523156
t3,0.58,0.3205338757307675
t3,0.58,0.3207373902947968
t4,0.3,0.1
t4,0.3,0.08813997101923379
t4,0.3,0.0889989074473894
t4,0.3,0.10219720747751616
t4,0.3,0.09471836902613008
t4,0.3,0.09623726732343718
t4,0.3,0.09869807175055623
t4,0.3,0.09720195993620444
t4,0.3,0.0963881922273128
t4,0.3,0.09936352400977423
t4,0.3,0.11910367641478842
t4,0.3,0.10765965390988305
t4,0.3,0.11310558039300049
t4,0.3,0.11507465807874723
t4,0.3,0.1083347482815553
t4,0.3,0.1258851971082987
t4,0.3,0.10422947228576293
t4,0.3,0.11425884943018412
t4,0.3,0.1287502940333273
t4,0.3,0.12855192838182633
t5,0.5,0.7
t5,0.5,0.6881399710192337
t5,0.5,0.6889889617439556
t5,0.5,0.6901847330213424
t5,0.5,0.6889491500899794
t5,0.5,0.6903605643884984
t5,0.5,0.6925112515934729
t5,0.5,0.6908540618515706
t5,0.5,0.6899975155435222
t5,0.5,0.6908684350679181
t5,0.5,0.6947309223174114
t5,0.5,0.697715683996389
t5,0.5,0.7144442833255429
t5,0.5,0.7131267001138856
t5,0.5,0.7101193605210462
t5,0.5,0.7291913891244195
t5,0.5,0.7117209695077038
t5,0.5,0.7344017073605037
t5,0.5,0.7387865237579383
t5,0.5,0.7384768232504471
t6,1,1.5
t6,1,1.3813997101923379
t6,1,1.3899581664711953
t6,1,1.4833988296846807
t6,1,1.4537148131029771
t6,1,1.4607190714645746
t6,1,1.4737947623649164
t6,1,1.4608780573741798
t6,1,1.4504947010248062
t6,1,1.4755142040243945
t6,1,1.5549172944677077
t6,1,1.5509792629024717
t6,1,1.6214975223158088
t6,1,1.6336259307348313
t6,1,1.5839256658507335
t6,1,1.7119317833737562
t6,1,1.716330388144009
t6,1,1.809701275565573
t6,1,1.8084817633289065
t6,1,1.8069759277633706
