Parameter,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual,Case Dual
Cost,[81.64851505],[124.62227918],[159.48832272],[359.15311079],[186.18399059],[128.2838873],[468.78697955],[128.94345498],[90.03084659],[126.89349089],[103.20048535],[97.64692738],[229.18127129],[121.42062329],[95.33171105],[75.67095126],[442.43380855],[96.48076033],[95.46907808],[140.20297529]
xk3,-6.8262025216,-2.1128007262,-2.9049068272,0.7666534036,-1.6717143495,-0.582510117,2.1424493138,0.1837696343,2.5236078814,-1.6843546114,-0.6278832045,-1.7691259216,-0.7301302851,-0.9903254322,1.4890739561,0.7710191492,-1.1388957261,-1.4988210189,4.9562851514,0.2337568334
xk3,2.4723368413,0.1459160354,-2.9179279539,1.8713337175,-1.6290618627,-1.2196859957,0.837029948,1.4409885653,-0.914795155,-0.4592738823,-0.8408964868,-0.5132338271,-1.3832058081,-1.5726291618,-0.2442331142,-1.2146981351,-0.8792568715,-1.5917602089,4.8370398028,-2.7897992612
xk3,1.9953962599,-2.5310392845,-0.4718124608,2.3799119343,-2.3214789754,-2.2074976165,2.2360127231,0.2493913867,1.5678392153,-0.9759936345,-1.7343532413,4.6210229948,-0.7923955051,-1.5263864836,0.8527611391,-2.0508384044,0.8224266538,-0.0904332075,-1.5338960012,-0.6953153762
xk3,-3.7215261668,-2.3913689105,0.6370404213,-0.7804284194,-3.118834703,-3.1133512098,0.2820801616,-0.781412619,0.4334159766,0.0083984968,-2.3552048732,2.8449487539,-1.4377817554,-0.4064366228,0.4739110475,-0.2454969868,-0.1937005801,-0.0486073818,-0.5540061175,1.5298047245
xk3,-6.2199192786,-0.4259904299,-1.8166029079,1.9806853743,4.3472396469,-0.9448675039,1.0378301438,-1.2477668685,-0.4967781174,-0.520885837,-2.6336071336,1.8168099096,-1.6656435249,-2.911161613,-1.6111414336,0.9203135982,-1.5940235011,-0.8960446424,1.5169776388,-0.8674820151
xk3,-1.4407946982,-1.8524404416,-1.3457654389,1.2433956072,-2.4876525461,-5.2981384171,0.776060136,-2.3197713962,-1.1104498072,-1.2325938932,-3.3886535244,0.1813944782,-1.0154362964,-1.2385425512,-0.9260956669,-2.5265467653,-1.5725887029,-1.9133657957,0.5711038069,-2.3114475328
xk3,0.6398138058,-3.7567177558,0.3437206522,-0.776781148,-1.6544016597,-3.6476062641,0.4812712178,-2.934970337,-0.2811939721,-1.9774412488,-1.428574406,-1.088982932,-2.9088879257,-2.6932955786,-0.774717427,-1.9970463453,-1.493086525,-1.0144677761,-1.3540269868,-1.1569390587
xk3,-3.4776669439,-1.34047443,-1.1766941057,0.0232840365,0.5640212289,-0.1685447402,1.6476041724,0.2602625454,-0.1916916344,-1.0869877963,-4.3001585636,0.539468957,-2.4182151605,0.3681771568,-1.7389045664,0.0796257726,-1.1110009785,-2.0160186953,-1.5150517089,-1.3529269777
xk3,-0.0221242446,-3.0697890425,-2.4736641315,-1.9048345225,1.4654347441,-4.8759625624,-1.538163833,-5.8081581187,-2.1792748887,-4.7923226373,-4.4752545321,0.0421237499,-1.0196606653,-2.7494406903,-2.9644969116,-1.3196885925,-0.4570802237,-1.6716909453,-1.3684159837,-1.3954238018
xk3,4.0714863659,-5.9096893635,-2.4908950217,-5.6801772443,-5.9730215793,-10.2270219787,-7.8887007499,-12.3623551913,-10.3649189599,-6.6857309721,-5.9297450434,-7.9498457186,-11.4274772808,-6.9298125849,-6.2292739078,-6.1295220317,-10.2922729914,-10.9760283511,-5.0312201507,-4.3499886553
xk3,-3.7773691833,-0.4273346185,-2.5305018835,9.6173077642,-1.5490083958,4.427691586,9.0260208592,3.5094819983,-3.2324006943,0.7653528196,-6.0667943616,-0.3235560416,6.0023402618,-2.1189912541,-3.2282300988,-5.8444705666,14.6407738549,-1.0611316854,-2.3651652043,2.332365268
xk3,14.2744755145,5.8986341382,2.3545277579,-6.7716661644,0.8929175434,8.6644502243,-10.2781729736,9.2249188804,14.0372234975,6.9794681106,7.2189762736,8.0135135805,-1.0711377103,5.2281611181,8.6886225744,9.5526011539,-9.6976092066,12.1159691849,8.3630933447,4.8210480242
uk,-0.0264804156,-0.1725554559,-0.2014159367,0.0220338953,0.0241673844,-0.0201623937,0.1073790954,0.3382018688,0.069733504,-0.2021932241,0.1175961818,-0.1059621413,-0.1111686005,-0.0432812536,0.177004074,-0.7129018169,-0.4392840569,-0.0150423999,0.0735441497,-0.3751125848
uk,0.0957797713,0.1579143496,0.2635017504,0.002719149,0.0589275762,-0.1054201468,-0.1570946544,-0.6983638272,0.1435527285,0.13132217,-0.2891456818,0.0902027841,0.010587104,-0.0385788058,0.0807336446,0.745952442,0.3725808577,-0.3011551098,0.7878473279,0.2655821853
uk,0.3633641571,0.5426041736,0.5335079517,-0.0513143557,-0.7037670269,0.5786503241,0.4526185454,-0.3636007619,-0.627987513,0.9934319033,-0.033375511,-0.283195095,0.1000909774,0.1117577864,-0.8194743178,2.0839493852,0.5722846572,0.4797075812,-0.7853528062,0.7997768889
uk,-0.3089238971,1.6332179168,0.453958878,0.0243687011,0.7033331133,-0.1293612887,-1.1375818366,-1.037600554,-0.3992547519,0.6989875582,-0.2549187965,1.3100665337,1.1886163461,0.9312366077,-1.8338754672,2.8612135788,4.78021536,0.8926204693,-2.6334190327,3.2005845509
uk,-0.9492896971,0.0516045114,2.1025227986,-1.0484549498,0.1548473817,-0.3232445961,-2.896429243,-1.7653317564,-1.5272082406,1.0289268478,-0.9532736561,2.5557963504,2.1789679641,0.4253883485,-2.1070977744,11.9309705096,4.3896621729,1.3591098793,-9.6430380373,4.9561613124
uk,-3.0903403775,0.6809400562,1.8790995858,-1.0511575597,0.4481557358,0.1326925585,-4.8326335981,-2.1309496986,-2.7213326221,2.4039910491,0.211341169,4.657864474,6.5194525224,1.2060242154,-5.6843141384,0.2620536981,9.4569406889,1.7743424927,-6.0977013007,6.9107785604
uk,-4.1603734909,0.8814032009,8.3348067299,-0.9623514232,1.2453722233,-0.0339666755,-8.9074172921,-4.1902394214,-4.8981942026,5.1622518861,-0.6881773736,14.429168676,2.7461508194,0.8925732637,-3.2492302271,3.9138055675,1.3553159846,6.1187905681,-17.9351279571,5.3707363713
uk,-16.4380583091,1.5538462201,0.5087257316,-2.0707014091,3.5703002077,0.6116824345,-4.5562146484,-2.8587790335,-2.5806006111,2.1365744027,0.4246761358,-7.1262441762,5.9471134596,1.24957535,-4.211170195,8.1086173967,3.6015101933,2.0443838559,2.0431422202,4.3007755723
uk,8.0566254777,5.6208738614,3.6857363241,-1.0198817325,4.3429612153,0.8408920028,-4.6558162284,-0.252646643,-6.5754130036,3.8358281976,1.0511044139,-2.5908911704,1.6599131045,1.4052692668,-3.9167929857,0.8412754819,0.6550789577,2.6648288297,-2.8280671393,-2.6113528601
uk,2.5365664466,1.0456886958,5.2641054595,-2.5715655453,4.0457478316,1.5161837146,0.395634064,-1.6204038065,1.0914201329,0.6227964797,1.2760497631,-2.3988061107,1.8058802383,2.8333978159,0.3457476893,2.1183001741,2.0396607544,2.8751577806,-7.6037567626,2.0681915662
uk,0.3574047734,3.766137302,3.4518039005,-6.6030091708,3.9030629671,3.1714500945,-2.3769132276,-0.8061090251,-1.2445146633,1.2233085196,2.6955322694,-8.4448877118,0.3493681667,4.2980439371,-0.2517292817,3.7552067679,-0.4297714134,0.5102891126,-1.3866369545,2.9090562632
