Parameter,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE,Case CE
xk2,-1.0157102891,-0.1048438534,-1.1574129223,0.5544555856,0.9077445311,0.2573763297,-0.3640580811,0.9571506866,0.0855268922,0.5980272742,-0.6759341853,-0.1458113949,0.3442293493,0.1274326671,0.0697691072,0.6736401521,-1.0750999745,0.3606404667,-0.6735352242,-0.227364466
xk2,-0.5694859036,0.2347176843,-0.6287855245,0.2925097871,1.0229635975,0.3876931558,-0.3403762765,1.3072774823,1.1785122535,0.8286100839,-0.4975796644,-0.073955264,0.5496441323,0.3353976008,0.034715731,0.9322121258,-1.5903824427,0.9796312966,-0.7064189795,-0.7435973255
xk2,-1.5576265548,0.3986495109,-0.5728045001,0.5044258317,1.4030514884,0.2640779593,-1.096087492,1.5257069861,1.8850823274,1.5372804847,-0.51599026,-0.2042386425,0.1502734544,0.1889272552,-0.8018267268,1.0186707608,-0.6535092419,0.5153797696,-0.3664251526,-1.4510896762
xk2,-0.5382846722,0.5483477815,-0.7880699272,1.2380856609,1.304842907,0.2083366648,-0.8207803897,0.0343811678,2.1176448928,0.0124501937,-0.8590652031,-0.3360999114,0.2967485638,-0.0675840753,-1.3688898615,0.9453946312,-0.0020877263,0.5512778899,-0.0266452058,-2.4227825653
xk2,0.2917922415,-0.0237217479,-0.4295819729,1.0270037812,-0.7809593506,0.3462614497,-0.4825815666,-0.6274637401,1.0653953003,-0.1547523212,-2.1781708906,-0.7239825664,0.3502308118,-0.2448812849,-2.1505232614,0.0391014102,-1.2355830485,0.942626649,-0.2604935977,-1.9626089253
xk2,-0.7366366,0.7216948328,0.6295357136,0.3404563134,-0.2228342289,0.0549984915,-1.905956287,-0.6813087883,2.0128888794,0.0042330942,-0.2516001562,-0.9379758352,0.8926834204,-0.6061633306,-2.6831563337,0.3153172835,2.0587600325,0.90610309,-1.2774282689,0.6278975036
xk2,0.0811719395,1.9271355267,-0.5000682588,0.3703036076,-0.420803234,0.6405970879,1.6016570017,1.3406106142,0.0795805826,-0.0312904508,0.3844580929,0.6008878513,1.5147780076,-0.3128701694,6.6269007743,0.4295788802,1.1712500622,-0.1744495972,-1.1867463487,-0.093472879
xk2,0.8113927934,1.3702254398,0.0128082679,1.942668865,0.7899891109,1.9937158353,0.8662913607,1.4099906978,1.0472529686,1.0250965198,-0.1596048275,0.8564069917,2.4843691307,0.5947990869,4.822041988,0.5670356327,-0.4329335742,1.096143675,2.4873374986,1.2373793924
xk2,1.3969276937,-2.58334034,-0.6838045175,-3.5427858875,1.7019026678,1.4967635022,-0.4374057409,0.928799774,-0.3620365346,0.1906073142,3.0092415549,0.6591228698,-1.2412593154,1.9263991968,1.2119844197,-0.0507054755,1.1500076783,0.6363805351,1.7769249233,0.383694618
xk2,0.6180511405,-1.7941404337,-1.137610562,-3.4752135187,-0.6348927156,-2.2814350273,-0.6654303803,-0.0688695892,0.8656204074,1.5713353415,-0.2941761811,-0.5796736407,-1.9313603691,0.2267167796,1.5011913948,-1.6816340357,0.8583803126,0.1512351915,0.2798985601,-2.2864865568
xk2,-0.8494935942,-1.8679165324,-2.0506529011,-3.9908818083,-2.5826501461,-3.5194874223,-0.8140471753,-2.5756941399,-1.9146077038,1.0847513983,-2.4947083566,-2.2578575288,-0.4050760067,-1.3443288241,-3.9071801831,-4.3857845981,-1.3029697603,-2.2998984379,-1.5422207963,-4.4996433366
