Parameter,Case Opt,Case Opt,Case Opt,Case Opt,Case Opt,Case Opt,Case Opt,Case Opt,Case Opt,Case Opt,Case Opt,Case Opt,Case Opt,Case Opt,Case Opt,Case Opt,Case Opt,Case Opt,Case Opt,Case Opt
Cost,[1.47540776],[2.66042598],[2.8094477],[1.09023928],[6.55852403],[1.51743719],[1.11588525],[2.80223365],[1.45931268],[2.63749849],[2.90806085],[2.65822743],[3.09662901],[2.53608497],[1.53700399],[1.2196409],[5.33718851],[2.80366132],[5.44053591],[3.59418163]
xk2,2.7691675713,1.9179257963,0.2472959566,0.6817400939,0.6397748768,0.2552585169,2.0470065919,0.0022444627,0.6400472432,1.2712101793,-0.9792289047,0.0749988015,2.3388723562,0.7768433642,1.3201385078,3.1111276152,-0.5248095343,-0.4936801403,2.6446037711,2.0977073762
xk2,-5.4288427808,-6.4830670075,-7.1544704476,-6.4428315965,-8.0231183516,-7.1243552501,-3.8600023006,-5.651742866,-6.0682435268,-6.0773385556,-8.3798995919,-6.4215762093,-5.3267565121,-6.4062243823,-6.0320261854,-5.95188732,-6.441530694,-6.9040136144,-4.2913772886,-4.8585552279
xk2,-5.1381449451,-5.4817245687,-6.5451501034,-6.9444748582,-6.9032101202,-6.0146250753,-4.6913393322,-5.4584512312,-6.3293638273,-5.0996999906,-8.5364240214,-7.1128554641,-4.7175758164,-5.8183692636,-6.1458481606,-5.6727673606,-8.0903589411,-8.0839862002,-5.0212919037,-4.9479389977
xk2,6.3969983572,4.6538571512,4.603248008,5.5020936875,2.7641969,4.3197124267,6.9250320837,5.9942580498,4.4420997816,6.6916457909,3.1319543607,4.7866134043,5.1384046246,4.7851194274,5.5935464819,6.2611963067,3.6892005218,4.385972094,7.4927604718,6.2847067304
xk2,16.1832464003,16.035454996,16.1556086481,16.1231224765,15.6201444011,15.6202423026,16.7283093684,16.6809893604,15.8536580386,16.2990803795,15.1060058725,16.3358229804,16.5425678094,16.1514387016,16.1407381158,15.809459491,14.6772682979,15.5264150587,16.5453357226,16.4660328944
xk2,7.5964772667,6.206216597,6.1228744628,7.2538019532,4.9101763672,7.2382332564,7.2557531891,6.7344850606,7.4593908927,8.90625536,6.6450584221,6.0890702046,6.0330786124,7.0614646645,7.9692213951,7.3912949199,8.6565179754,8.097303967,9.8779058068,8.5302645263
xk2,-13.5666500517,-13.1498276275,-13.1395316737,-13.4617893739,-12.7023774609,-13.4257719875,-13.5274554384,-13.3902574652,-13.538277268,-14.0297205556,-13.1485316742,-13.1432331622,-13.1732601436,-13.4568138598,-13.7192340212,-13.4185561665,-13.7181599155,-13.6690705218,-14.3693585664,-13.9526302626
xk2,0.4756095084,0.7078863098,1.2559940628,0.0912109804,-0.0529573164,-0.4209257506,-0.0132444058,0.9791915251,-0.284756358,0.3825261852,-1.4592457044,1.2284020915,0.9136325406,0.5094093402,0.5233769882,-0.402886013,-2.1163137847,-1.3815000661,0.7749036715,0.7536210117
xk3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xk3,0.2669578741,0.1815209861,0.1971017333,0.2698897091,0.2514929516,0.1707891263,0.2190252808,0.2079472577,0.2928677421,0.18021277,0.2751064114,0.1008644676,0.1987346121,0.1725324888,0.1725118422,0.2463948598,0.1968496458,0.2115308467,0.1693565774,0.2143559416
xk3,-0.0173149586,-0.2171608865,-0.0265463862,0.236052482,0.0334551904,-0.2235918685,-0.0398500861,-0.0898903352,0.2300912527,-0.248911894,0.2546680691,-0.5095132374,-0.1683968779,-0.1689484783,-0.1852042019,0.0364667977,-0.0493173158,-0.0170575508,-0.3118521815,-0.0290731886
xk3,-0.1716247389,-0.1939550553,-0.9009363476,-1.1207107471,-0.5206162957,-0.1957803332,-0.5500022848,-0.4863391806,-0.8547617759,-0.0504949935,-1.0603692888,0.1931907648,-0.2928540312,-0.6098868307,-0.3399443416,-0.5913375565,-0.6608761582,-0.7505933869,0.0232593652,-0.5500106418
xk3,0.3251592043,-0.1254072935,0.7534164413,0.2192508946,0.1686760179,-0.6763214346,0.3398936514,0.3528763533,0.3476556236,-0.3749355742,-0.0182888005,-0.6018435542,0.2135848595,0.8581572867,-0.8672086412,0.3752803692,-0.3256061338,0.5696904321,-0.2316917621,-0.6079219228
